dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-3.998249,-1.001751,0.002500,0.100000,2.000000,40.000000,5.498103
0.050000,-3.992941,-1.007050,0.010000,0.200000,2.000000,0.000000,5.499066
0.050000,-3.984084,-1.015870,0.022500,0.300000,2.000000,0.000000,5.500693
0.050000,-3.971659,-1.028194,0.040000,0.400000,2.000000,-0.000000,5.503018
0.050000,-3.955642,-1.043996,0.062500,0.500000,2.000000,0.000000,5.506090
0.050000,-3.935999,-1.063242,0.090000,0.600000,2.000000,-0.000000,5.509969
0.050000,-3.912686,-1.085886,0.122500,0.700000,2.000000,0.000000,5.514733
0.050000,-3.885650,-1.111872,0.160000,0.800000,2.000000,0.000000,5.520476
0.050000,-3.854825,-1.141131,0.202500,0.900000,2.000000,0.000000,5.527306
0.050000,-3.820131,-1.173574,0.250000,1.000000,2.000000,-0.000000,5.535353
0.050000,-3.781474,-1.209097,0.302500,1.100000,2.000000,0.000000,5.544762
0.050000,-3.738742,-1.247570,0.360000,1.200000,2.000000,-0.000000,5.555701
0.050000,-3.691805,-1.288839,0.422500,1.300000,2.000000,0.000000,5.568361
0.050000,-3.640511,-1.332715,0.490000,1.400000,2.000000,0.000000,5.582954
0.050000,-3.584686,-1.378972,0.562500,1.500000,2.000000,0.000000,5.599717
0.050000,-3.524133,-1.427339,0.640000,1.600000,2.000000,-0.000000,5.618915
0.050000,-3.458629,-1.477492,0.722500,1.700000,2.000000,0.000000,5.640833
0.050000,-3.389968,-1.527594,0.807500,1.700000,0.000000,-40.000000,5.665042
0.050000,-3.320074,-1.575962,0.892500,1.700000,0.000000,0.000000,5.690920
0.050000,-3.248913,-1.622445,0.977500,1.700000,0.000000,0.000000,5.718471
0.050000,-3.176462,-1.666889,1.062500,1.700000,0.000000,0.000000,5.747681
0.050000,-3.102710,-1.709139,1.147500,1.700000,0.000000,0.000000,5.778514
0.050000,-3.027659,-1.749035,1.232500,1.700000,0.000000,0.000000,5.810908
0.050000,-2.951328,-1.786423,1.317500,1.700000,0.000000,0.000000,5.844773
0.050000,-2.873751,-1.821152,1.402500,1.700000,0.000000,0.000000,5.879987
0.050000,-2.794980,-1.853079,1.487500,1.700000,0.000000,0.000000,5.916401
0.050000,-2.715084,-1.882076,1.572500,1.700000,0.000000,0.000000,5.953832
0.050000,-2.634148,-1.908028,1.657500,1.700000,0.000000,0.000000,5.992073
0.050000,-2.552272,-1.930841,1.742500,1.700000,0.000000,0.000000,6.030897
0.050000,-2.469569,-1.950443,1.827500,1.700000,0.000000,0.000000,6.070060
0.050000,-2.386161,-1.966787,1.912500,1.700000,0.000000,0.000000,6.109313
0.050000,-2.302176,-1.979849,1.997500,1.700000,0.000000,0.000000,6.148411
0.050000,-2.217746,-1.989634,2.082500,1.700000,0.000000,0.000000,6.187116
0.050000,-2.133003,-1.996169,2.167500,1.700000,0.000000,0.000000,6.225214
0.050000,-2.048073,-1.999504,2.252500,1.700000,0.000000,0.000000,6.262509
0.050000,-1.963122,-1.999479,2.337500,1.700000,0.000000,0.000000,0.028574
0.050000,-1.878316,-1.994018,2.422500,1.700000,0.000000,0.000000,0.101810
0.050000,-1.794209,-1.981905,2.507500,1.700000,0.000000,0.000000,0.186195
0.050000,-1.711542,-1.962269,2.592500,1.700000,0.000000,0.000000,0.282082
0.050000,-1.631290,-1.934380,2.677500,1.700000,0.000000,0.000000,0.388412
0.050000,-1.554604,-1.897823,2.762500,1.700000,0.000000,0.000000,0.502146
0.050000,-1.482640,-1.852678,2.847500,1.700000,0.000000,0.000000,0.618318
0.050000,-1.416326,-1.799576,2.932500,1.700000,0.000000,0.000000,0.731045
0.050000,-1.356164,-1.739584,3.017500,1.700000,0.000000,0.000000,0.835108
0.050000,-1.302169,-1.673976,3.102500,1.700000,0.000000,0.000000,0.927120
0.050000,-1.253960,-1.603996,3.187500,1.700000,0.000000,0.000000,1.005729
0.050000,-1.210901,-1.530727,3.272500,1.700000,0.000000,0.000000,1.071107
0.050000,-1.172247,-1.455036,3.357500,1.700000,0.000000,0.000000,1.124248
0.050000,-1.137234,-1.377589,3.442500,1.700000,0.000000,0.000000,1.166429
0.050000,-1.105126,-1.298891,3.527500,1.700000,0.000000,0.000000,1.198890
0.050000,-1.075237,-1.219321,3.612500,1.700000,0.000000,0.000000,1.222679
0.050000,-1.046929,-1.139174,3.697500,1.700000,0.000000,0.000000,1.238602
0.050000,-1.019602,-1.058687,3.782500,1.700000,0.000000,0.000000,1.247205
0.050000,-0.992685,-0.978061,3.867500,1.700000,0.000000,0.000000,1.248789
0.050000,-0.965615,-0.897487,3.952500,1.700000,0.000000,0.000000,1.243408
0.050000,-0.937827,-0.817158,4.037500,1.700000,0.000000,0.000000,1.230874
0.050000,-0.908735,-0.737293,4.122500,1.700000,0.000000,0.000000,1.210756
0.050000,-0.877721,-0.658157,4.207500,1.700000,0.000000,0.000000,1.182364
0.050000,-0.844120,-0.580085,4.292500,1.700000,0.000000,0.000000,1.144759
0.050000,-0.807220,-0.503522,4.377500,1.700000,0.000000,0.000000,1.096775
0.050000,-0.766264,-0.429054,4.462500,1.700000,0.000000,0.000000,1.037125
0.050000,-0.720491,-0.357453,4.547500,1.700000,0.000000,0.000000,0.964634
0.050000,-0.669200,-0.289705,4.632500,1.700000,0.000000,0.000000,0.878672
0.050000,-0.612958,-0.228066,4.715974,1.638978,-1.220435,-24.408702,0.781689
0.050000,-0.553856,-0.175022,4.795423,1.538978,-2.000000,-15.591298,0.679885
0.050000,-0.493718,-0.131189,4.869872,1.438978,-2.000000,0.000000,0.579287
0.050000,-0.433882,-0.095988,4.939321,1.338978,-2.000000,-0.000000,0.484353
0.050000,-0.375617,-0.068486,5.003770,1.238978,-2.000000,0.000000,0.398181
0.050000,-0.319990,-0.047555,5.063219,1.138978,-2.000000,0.000000,0.322278
0.050000,-0.267812,-0.032029,5.117668,1.038978,-2.000000,-0.000000,0.256862
0.050000,-0.219658,-0.020816,5.167117,0.938978,-2.000000,0.000000,0.201346
0.050000,-0.175913,-0.012956,5.211566,0.838978,-2.000000,0.000000,0.154773
0.050000,-0.136827,-0.007638,5.251015,0.738978,-2.000000,-0.000000,0.116090
0.050000,-0.102552,-0.004197,5.285464,0.638978,-2.000000,0.000000,0.084310
0.050000,-0.073178,-0.002098,5.314912,0.538978,-2.000000,-0.000000,0.058577
0.050000,-0.048759,-0.000918,5.339361,0.438978,-2.000000,0.000000,0.038181
0.050000,-0.029319,-0.000328,5.358810,0.338978,-2.000000,-0.000000,0.022564
0.050000,-0.014872,-0.000084,5.373259,0.238978,-2.000000,0.000000,0.011301
0.050000,-0.005423,-0.000011,5.382708,0.138978,-2.000000,-0.000000,0.004087
0.050000,-0.000974,-0.000000,5.387157,0.038978,-2.000000,0.000000,0.000731
0.050000,-0.000000,0.000000,5.388132,0.000000,-0.779565,24.408702,0.000000
0.050000,-0.000000,0.000000,5.388132,0.000000,0.000000,15.591298,0.000000
